name,value,year,lastValue,rank,color
Zalgris Kaunas,8,19,7,11,149 100 24
Buducnost VOLI Podgorica,5,19,4,15,216 100 32
Darussafaka Tekfen,2,19,2,16,149 100 24
FC Bayern Munich,9,19,9,8,374 100 42
FC Barcelona Lassa,11,19,11,6,346 100 39
Khimki Moscow Region,7,19,7,13,42 96 61
Herbalife Gran Canaria,6,19,6,14,42 96 61
Fenerbahçe Beko,18,20,17,1,42 96 61
Olympiacos Piraeus,12,20,12,5,346 100 39
CSKA Moscow,15,20,14,3,374 100 42
Anadolu Efes,13,20,13,4,216 100 32
Real Madrid,16,20,15,2,288 48 36
AX Armani Exchange Olimpia Milan,9,20,8,8,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,9,20,9,9,343 100 43
Panathinaikkos OPAP Athens,8,20,8,12,149 100 24
Maccabi FOX Tel Aviv,9,20,8,10,42 96 61
Zalgris Kaunas,8,20,8,11,149 100 24
Buducnost VOLI Podgorica,6,20,5,15,216 100 32
Darussafaka Tekfen,3,20,2,16,149 100 24
FC Bayern Munich,10,20,9,7,374 100 42
FC Barcelona Lassa,11,20,11,6,346 100 39
Khimki Moscow Region,7,20,7,13,42 96 61
Herbalife Gran Canaria,6,20,6,14,42 96 61
Fenerbahçe Beko,18,21,18,1,42 96 61
Olympiacos Piraeus,12,21,12,6,346 100 39
CSKA Moscow,16,21,15,3,374 100 42
Anadolu Efes,13,21,13,4,216 100 32
Real Madrid,17,21,16,2,288 48 36
AX Armani Exchange Olimpia Milan,10,21,9,9,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,10,21,9,8,343 100 43
Panathinaikkos OPAP Athens,9,21,8,11,149 100 24
Maccabi FOX Tel Aviv,9,21,9,10,42 96 61
Zalgris Kaunas,8,21,8,13,149 100 24
Buducnost VOLI Podgorica,6,21,6,15,216 100 32
Darussafaka Tekfen,3,21,3,16,149 100 24
FC Bayern Munich,11,21,10,7,374 100 42
FC Barcelona Lassa,12,21,11,5,346 100 39
Khimki Moscow Region,8,21,7,12,42 96 61
Herbalife Gran Canaria,6,21,6,14,42 96 61
Fenerbahçe Beko,19,22,18,1,42 96 61
Olympiacos Piraeus,12,22,12,6,346 100 39
CSKA Moscow,17,22,16,2,374 100 42
Anadolu Efes,14,22,13,4,216 100 32
Real Madrid,17,22,17,3,288 48 36
AX Armani Exchange Olimpia Milan,11,22,10,9,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,11,22,10,8,343 100 43
Panathinaikkos OPAP Athens,9,22,9,12,149 100 24
Maccabi FOX Tel Aviv,10,22,9,10,42 96 61
Zalgris Kaunas,8,22,8,13,149 100 24
Buducnost VOLI Podgorica,6,22,6,15,216 100 32
Darussafaka Tekfen,3,22,3,16,149 100 24
FC Bayern Munich,11,22,11,7,374 100 42
FC Barcelona Lassa,13,22,12,5,346 100 39
Khimki Moscow Region,9,22,8,11,42 96 61
Herbalife Gran Canaria,6,22,6,14,42 96 61
Fenerbahçe Beko,20,23,19,1,42 96 61
Olympiacos Piraeus,12,23,12,7,346 100 39
CSKA Moscow,18,23,17,2,374 100 42
Anadolu Efes,15,23,14,4,216 100 32
Real Madrid,18,23,17,3,288 48 36
AX Armani Exchange Olimpia Milan,12,23,11,6,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,11,23,11,8,343 100 43
Panathinaikkos OPAP Athens,10,23,9,11,149 100 24
Maccabi FOX Tel Aviv,10,23,10,10,42 96 61
Zalgris Kaunas,9,23,8,13,149 100 24
Buducnost VOLI Podgorica,6,23,6,15,216 100 32
Darussafaka Tekfen,3,23,3,16,149 100 24
FC Bayern Munich,11,23,11,9,374 100 42
FC Barcelona Lassa,14,23,13,5,346 100 39
Khimki Moscow Region,9,23,9,12,42 96 61
Herbalife Gran Canaria,6,23,6,14,42 96 61
Fenerbahçe Beko,21,24,20,1,42 96 61
Olympiacos Piraeus,12,24,12,8,346 100 39
CSKA Moscow,19,24,18,2,374 100 42
Anadolu Efes,15,24,15,4,216 100 32
Real Madrid,18,24,18,3,288 48 36
AX Armani Exchange Olimpia Milan,13,24,12,6,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,12,24,11,7,343 100 43
Panathinaikkos OPAP Athens,11,24,10,11,149 100 24
Maccabi FOX Tel Aviv,11,24,10,10,42 96 61
Zalgris Kaunas,9,24,9,13,149 100 24
Buducnost VOLI Podgorica,6,24,6,15,216 100 32
Darussafaka Tekfen,3,24,3,16,149 100 24
FC Bayern Munich,12,24,11,9,374 100 42
FC Barcelona Lassa,15,24,14,5,346 100 39
Khimki Moscow Region,9,24,9,12,42 96 61
Herbalife Gran Canaria,6,24,6,14,42 96 61
Fenerbahçe Beko,21,25,21,1,42 96 61
Olympiacos Piraeus,13,25,12,8,346 100 39
CSKA Moscow,20,25,19,2,374 100 42
Anadolu Efes,16,25,15,4,216 100 32
Real Madrid,19,25,18,3,288 48 36
AX Armani Exchange Olimpia Milan,13,25,13,7,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,13,25,12,6,343 100 43
Panathinaikkos OPAP Athens,12,25,11,10,149 100 24
Maccabi FOX Tel Aviv,12,25,11,9,42 96 61
Zalgris Kaunas,10,25,9,12,149 100 24
Buducnost VOLI Podgorica,6,25,6,15,216 100 32
Darussafaka Tekfen,3,25,3,16,149 100 24
FC Bayern Munich,12,25,12,11,374 100 42
FC Barcelona Lassa,15,25,15,5,346 100 39
Khimki Moscow Region,9,25,9,13,42 96 61
Herbalife Gran Canaria,6,25,6,14,42 96 61
Fenerbahçe Beko,22,26,21,1,42 96 61
Olympiacos Piraeus,13,26,13,8,346 100 39
CSKA Moscow,20,26,20,2,374 100 42
Anadolu Efes,17,26,16,4,216 100 32
Real Madrid,20,26,19,3,288 48 36
AX Armani Exchange Olimpia Milan,14,26,13,7,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,14,26,13,6,343 100 43
Panathinaikkos OPAP Athens,13,26,12,9,149 100 24
Maccabi FOX Tel Aviv,12,26,12,10,42 96 61
Zalgris Kaunas,11,26,10,12,149 100 24
Buducnost VOLI Podgorica,15,26,6,6,216 100 32
Darussafaka Tekfen,3,26,3,16,149 100 24
FC Bayern Munich,12,26,12,11,374 100 42
FC Barcelona Lassa,15,26,15,5,346 100 39
Khimki Moscow Region,9,26,9,13,42 96 61
Herbalife Gran Canaria,7,26,6,14,42 96 61
Fenerbahçe Beko,23,27,22,1,42 96 61
Olympiacos Piraeus,14,27,13,8,346 100 39
CSKA Moscow,21,27,20,2,374 100 42
Anadolu Efes,17,27,17,4,216 100 32
Real Madrid,21,27,20,3,288 48 36
AX Armani Exchange Olimpia Milan,14,27,14,7,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,14,27,14,6,343 100 43
Panathinaikkos OPAP Athens,14,27,13,9,149 100 24
Maccabi FOX Tel Aviv,12,27,12,11,42 96 61
Zalgris Kaunas,12,27,11,10,149 100 24
Buducnost VOLI Podgorica,6,27,15,15,216 100 32
Darussafaka Tekfen,4,27,3,16,149 100 24
FC Bayern Munich,12,27,12,12,374 100 42
FC Barcelona Lassa,16,27,15,5,346 100 39
Khimki Moscow Region,9,27,9,13,42 96 61
Herbalife Gran Canaria,7,27,7,14,42 96 61
Fenerbahçe Beko,23,28,23,1,42 96 61
Olympiacos Piraeus,14,28,14,9,346 100 39
CSKA Moscow,22,28,21,2,374 100 42
Anadolu Efes,18,28,17,4,216 100 32
Real Madrid,21,28,21,3,288 48 36
AX Armani Exchange Olimpia Milan,14,28,14,8,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,15,28,14,6,343 100 43
Panathinaikkos OPAP Athens,15,28,14,7,149 100 24
Maccabi FOX Tel Aviv,13,28,12,11,42 96 61
Zalgris Kaunas,13,28,12,10,149 100 24
Buducnost VOLI Podgorica,6,28,6,15,216 100 32
Darussafaka Tekfen,4,28,4,16,149 100 24
FC Bayern Munich,13,28,12,12,374 100 42
FC Barcelona Lassa,16,28,16,5,346 100 39
Khimki Moscow Region,9,28,9,13,42 96 61
Herbalife Gran Canaria,8,28,7,14,42 96 61
Fenerbahçe Beko,24,29,23,1,42 96 61
Olympiacos Piraeus,14,29,14,11,346 100 39
CSKA Moscow,23,29,22,2,374 100 42
Anadolu Efes,19,29,18,4,216 100 32
Real Madrid,22,29,21,3,288 48 36
AX Armani Exchange Olimpia Milan,14,29,14,9,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,15,29,15,6,343 100 43
Panathinaikkos OPAP Athens,15,29,15,7,149 100 24
Maccabi FOX Tel Aviv,14,29,13,10,42 96 61
Zalgris Kaunas,14,29,13,8,149 100 24
Buducnost VOLI Podgorica,6,29,6,15,216 100 32
Darussafaka Tekfen,5,29,4,16,149 100 24
FC Bayern Munich,13,29,13,12,374 100 42
FC Barcelona Lassa,17,29,16,5,346 100 39
Khimki Moscow Region,9,29,9,13,42 96 61
Herbalife Gran Canaria,8,29,8,14,42 96 61
Fenerbahçe Beko,25,30,24,1,42 96 61
Olympiacos Piraeus,15,30,14,9,346 100 39
CSKA Moscow,24,30,23,2,374 100 42
Anadolu Efes,20,30,19,4,216 100 32
Real Madrid,22,30,22,3,288 48 36
AX Armani Exchange Olimpia Milan,14,30,14,12,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,15,30,15,7,343 100 43
Panathinaikkos OPAP Athens,16,30,15,6,149 100 24
Maccabi FOX Tel Aviv,14,30,14,10,42 96 61
Zalgris Kaunas,15,30,14,8,149 100 24
Buducnost VOLI Podgorica,6,30,6,15,216 100 32
Darussafaka Tekfen,5,30,5,16,149 100 24
FC Bayern Munich,14,30,13,11,374 100 42
FC Barcelona Lassa,18,30,17,5,346 100 39
Khimki Moscow Region,9,30,9,13,42 96 61
Herbalife Gran Canaria,8,30,8,14,42 96 61
